ano,nota,drive_id,url
2023,27.5,1i_7NNGd-ks5czwQ5SaI6r1LvP0Ij3ikQ,https://drive.google.com/file/d/1i_7NNGd-ks5czwQ5SaI6r1LvP0Ij3ikQ/view
2023,38.0,1y8FldbKu1h51A6Wb19aSAFMMbozAWOsB,https://drive.google.com/file/d/1y8FldbKu1h51A6Wb19aSAFMMbozAWOsB/view
2022,29.5,1fU3wIiJmHAfyGThNRAhL9HtSkaxwJpcW,https://drive.google.com/file/d/1fU3wIiJmHAfyGThNRAhL9HtSkaxwJpcW/view
2022,32.0,1byl-1hS8LJP6PiEB9i347Y20L4pruT7h,https://drive.google.com/file/d/1byl-1hS8LJP6PiEB9i347Y20L4pruT7h/view
2022,35.0,1-L0HgidR8YnXYr_tF__IZMp-BbFzUx03,https://drive.google.com/file/d/1-L0HgidR8YnXYr_tF__IZMp-BbFzUx03/view
2022,30.0,1RXS9oeAxut5BCDe2G6QSI1F-_gNAax_-,https://drive.google.com/file/d/1RXS9oeAxut5BCDe2G6QSI1F-_gNAax_-/view
2022,29.5,1Rdf2a6UjiRcCzGNMt5w-yOnalKCmHuTk,https://drive.google.com/file/d/1Rdf2a6UjiRcCzGNMt5w-yOnalKCmHuTk/view
2023,40.0,1C0q-pX29mIhayHzeWGeeGO3TrRGaMDTj,https://drive.google.com/file/d/1C0q-pX29mIhayHzeWGeeGO3TrRGaMDTj/view
2022,31.5,1cgR7OmzqAeqqWDsedF7ABlnz0JLkJLhT,https://drive.google.com/file/d/1cgR7OmzqAeqqWDsedF7ABlnz0JLkJLhT/view
2021,33.33,1x00MnClIOHGGRawLujDMOpX1WSUFpjdU,https://drive.google.com/file/d/1x00MnClIOHGGRawLujDMOpX1WSUFpjdU/view
2023,31.5,1u6GOJC4ty4dj3vrLzoOKCfi3InJHHN60,https://drive.google.com/file/d/1u6GOJC4ty4dj3vrLzoOKCfi3InJHHN60/view
2022,38.0,1SXMbNJrvUBL8ZdFXNJIUOAP-4jMF3Xw3,https://drive.google.com/file/d/1SXMbNJrvUBL8ZdFXNJIUOAP-4jMF3Xw3/view
2022,34.0,1sSNpjSCQdPjv350AZukcWIA1-lzuLgAR,https://drive.google.com/file/d/1sSNpjSCQdPjv350AZukcWIA1-lzuLgAR/view
2023,31.0,19QVkG2WIdpXOrFvvGFvkzz2HWdEM6-hz,https://drive.google.com/file/d/19QVkG2WIdpXOrFvvGFvkzz2HWdEM6-hz/view
2023,31.5,1s_-uNrgTqKiTMOLmxBVwV-zR3CBLcCGo,https://drive.google.com/file/d/1s_-uNrgTqKiTMOLmxBVwV-zR3CBLcCGo/view
2022,41.5,1MzHmNEAiR-h4tUikPSKGyAHNokCvCTFK,https://drive.google.com/file/d/1MzHmNEAiR-h4tUikPSKGyAHNokCvCTFK/view
2022,20.0,1FcL4a875YWQU9YbYAHix_WUhGLNFoJsz,https://drive.google.com/file/d/1FcL4a875YWQU9YbYAHix_WUhGLNFoJsz/view
2022,32.0,1kB0UqCVyglVv0AbfJR7BJfTPmnFEaWmH,https://drive.google.com/file/d/1kB0UqCVyglVv0AbfJR7BJfTPmnFEaWmH/view
2022,35.0,1p1A0O6r1NLUanmNrUgXWyvCnC17VWNbA,https://drive.google.com/file/d/1p1A0O6r1NLUanmNrUgXWyvCnC17VWNbA/view
