ano,nota,c1,c2,c3,c4,c5,drive_id,url
2022,960,160,200,200,200,200,1CkgDLv7fo81Mwl2P3K1fXfpoV2fzD2L9,https://drive.google.com/file/d/1CkgDLv7fo81Mwl2P3K1fXfpoV2fzD2L9/view
2022,980,180,200,200,200,200,15-ER5qjYnSbqE77BINBCdCEYoJ3UUl3X,https://drive.google.com/file/d/15-ER5qjYnSbqE77BINBCdCEYoJ3UUl3X/view
2022,860,160,200,160,160,180,1hbk798sjgmkuFnaZMOWRqnWGGMwtg6K8,https://drive.google.com/file/d/1hbk798sjgmkuFnaZMOWRqnWGGMwtg6K8/view
2022,800,160,180,140,160,160,10FVBatTcB04FkWay7opS3a78zQUYuN9B,https://drive.google.com/file/d/10FVBatTcB04FkWay7opS3a78zQUYuN9B/view
2022,940,160,200,180,200,200,1OnAuwW7OnZ-Co6zFdYal0ZCdmqTtx2UY,https://drive.google.com/file/d/1OnAuwW7OnZ-Co6zFdYal0ZCdmqTtx2UY/view
2023,760,120,200,120,140,180,1lcSprjEKFrMX3aoEQFSpws6nP_n2Rwke,https://drive.google.com/file/d/1lcSprjEKFrMX3aoEQFSpws6nP_n2Rwke/view
2022,840,160,200,140,160,180,1wbgkjN8g8qq7QkEUDzlhs0H5CMjdsmO0,https://drive.google.com/file/d/1wbgkjN8g8qq7QkEUDzlhs0H5CMjdsmO0/view
2021,840,160,200,140,160,180,1sgAEGHZpgYKd9n0vPttW9q_BzRUfyb8a,https://drive.google.com/file/d/1sgAEGHZpgYKd9n0vPttW9q_BzRUfyb8a/view
2022,960,160,200,200,200,200,1v3neJBKA7-jbQi6h8rKNCldlxDHK3vtx,https://drive.google.com/file/d/1v3neJBKA7-jbQi6h8rKNCldlxDHK3vtx/view
