Unidade,Curso,Modalidade,Classificação na carreira,Nota na 1° fase,"Nota na 2° fase, 1° dia","Nota na 2° fase, 2° dia",Nota da redação,Qual o seu ano de ingresso?,Nota final,Envie aqui o espelho da sua redação,Chamada,Classificação no curso de ingresso,Forma de ingresso,Ciências da Natureza,Matemática,Linguagens,Ciências Humanas,Redação,Nota na Competência 1,Nota na Competência 2,Nota na Competência 3,Nota na Competência 4,Nota na Competência 5,Nota final.1,Envie aqui o espelho da sua redação.1
FEA,Administração Diurno,Ampla Concorrência (AC),31.0,58.0,77.0,55.83,40.0,2019,657.59,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),50.0,65.0,75.5,50.0,43.0,2020,659.07,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),41.0,74.0,66.0,51.67,33.0,2020,666.3,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),15.0,59.0,81.5,58.33,44.5,2019,684.63,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),25.0,74.0,67.0,56.67,35.0,2020,686.3,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Diurno,Ampla Concorrência (AC),9.0,71.0,79.0,59.17,46.5,2020,723.52,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),12.0,68.0,52.0,45.0,27.0,2020,575.0,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),153.0,66.0,67.0,43.4,89.0,2020,612.0,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),6.0,63.0,66.0,50.0,39.0,2020,616.0,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,"Pretos, Pardos e Indígenas (PPI)",2.0,41.0,59.0,28.33,33.0,2020,442.96,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,"Pretos, Pardos e Indígenas (PPI)",21.0,50.0,51.5,32.5,33.0,2020,465.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),55.0,51.0,54.5,37.5,26.5,2020,495.56,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),44.0,50.0,63.0,37.5,41.0,2020,520.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),34.0,55.0,66.5,33.3,40.0,2020,536.48,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),26.0,59.0,92.0,42.5,34.5,2020,551.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),227.0,70.0,59.0,40.83,36.0,2020,592.04,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),217.0,61.0,59.6,59.6,33.0,2020,593.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),215.0,60.0,60.0,51.97,28.5,2020,594.44,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),192.0,62.0,65.5,45.83,33.0,2020,600.74,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Escola Pública (EP),3.0,55.0,72.5,47.5,45.0,2020,603.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),219.0,59.0,60.0,55.83,28.5,2019,604.63,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),215.0,59.0,72.67,43.33,39.67,2019,605.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),172.0,56.0,76.5,43.33,41.0,2020,606.85,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),171.0,57.0,68.0,50.83,32.0,2020,607.22,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),170.0,62.0,62.5,50.83,34.0,2020,607.41,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),207.0,58.0,66.5,51.67,33.0,2019,608.7,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),163.0,71.0,60.0,44.17,38.5,2020,610.19,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),0.0,67.0,55.5,53.33,36.5,2020,610.93,,,,Fuvest,,,,,,,,,,,,
FEA,Administração Noturno,Ampla Concorrência (AC),195.0,56.0,78.0,43.33,41.5,2019,611.85,,,,Fuvest,,,,,,,,,,,,
