id,unidade,curso,ano,modalidade,chamada,nota_1,nota_2_1,nota_2_2,nota_final,nota_redacao,classificacao_carreira,classificacao_curso,redacao
111,FFLCH,Letras – Bach./Lic. diurno,2022,Escola Pública (EP),Primeira,60,65.5,46.67,596.11,41.0,8,8,https://drive.google.com/open?id=1pvM5VLmwMJe1HEtko8pE0GtbwmyuQcYG
60,Poli,"Engenharia Elétrica (Ênfases: Automação e Controle, Energia e Automação Elétricas, Eletrônica e Sistemas Computacionais, Telecomunicações)",2022,Ampla Concorrência (AC),Primeira,84,55.5,91.67,801.67,31.0,60,41,https://drive.google.com/open?id=1Ld9-YMZCv2K8dq2kTPFjr7b1R1058hfs
54,Poli,Engenharia Civil,2022,Ampla Concorrência (AC),Primeira,77,57.5,77.5,735.19,32.0,335,97,https://drive.google.com/open?id=1IZrfScTOTo2mszlToOoWKjj3f2XR9n8S
64,Poli,Engenharia Química (quadrimestral),2022,Escola Pública (EP),Primeira,62,45.0,52.5,554.63,28.0,141,41,
64,Poli,Engenharia Química (quadrimestral),2022,Ampla Concorrência (AC),Segunda,71,71.5,75.0,751.3,39.5,237,60,
64,Poli,Engenharia Química (quadrimestral),2022,Escola Pública (EP),Segunda,72,50.5,35.0,551.67,35.0,147,43,https://drive.google.com/open?id=1mLPw-mTyIiifPmhZj4tn8QR4Q7E1kygl
64,Poli,Engenharia Química (quadrimestral),2022,Escola Pública (EP),Primeira,67,53.5,82.5,701.48,28.0,25,8,
64,Poli,Engenharia Química (quadrimestral),2022,Ampla Concorrência (AC),Segunda,74,66.5,75.83,748.52,33.0,250,65,
153,IF,Física – Bacharelado noturno,2022,Ampla Concorrência (AC),Primeira,69,55.5,51.67,612.78,28.5,165,78,
53,Poli,Engenharia Ambiental,2022,Escola Pública (EP),Primeira,59,57.0,41.67,521.48,37.0,189,31,
55,Poli,Engenharia de Computação,2022,Ampla Concorrência (AC),Primeira,77,61.17,88.33,783.52,34.67,105,53,https://drive.google.com/open?id=1rGino4rLN_4jvMZ_39f-OHoC2pFvleYv
17,ECA,Artes Visuais - Bach. e Lic. noturno,2022,Escola Pública (EP),Primeira,57,57.0,47.0,610.0,39.0,9,9,
53,Poli,Engenharia Ambiental,2021,Escola Pública (EP),Primeira,62,61.5,48.33,595.74,36.5,127,18,https://drive.google.com/open?id=1q6Jle7zvCGLn0Fuy67211REORlzVCXD3
63,Poli,Engenharia Naval,2022,Ampla Concorrência (AC),Primeira,71,62.5,71.67,710.19,39.0,494,51,
61,Poli,Engenharia Mecânica,2022,Ampla Concorrência (AC),Primeira,81,65.0,89.17,813.89,36.5,39,26,https://drive.google.com/open?id=1NzezVV0lzlFLabRbHBj3E9HuJfDaGuPu
54,Poli,Engenharia Civil,2022,Escola Pública (EP),Segunda,57,55.0,27.5,486.11,32.0,74,280,
17,ECA,Artes Visuais - Bach. e Lic. noturno,2022,Escola Pública (EP),Primeira,55,59.0,50.83,654.29,36.5,4,4,https://drive.google.com/open?id=1sCl8njCRtkhu397lnRikLoHlnv9zv7ZW
,ICMC,bcc,2022,Escola Pública (EP),Primeira,70,53.0,55.0,619.26,31.0,21,18,https://drive.google.com/open?id=1wOnB7huROiWvUR2BQk3QhChNDeneTMIY
162,IME,Bacharelado em Ciência da Computação,2022,Ampla Concorrência (AC),Primeira,74,71.5,80.0,779.07,39.5,9,9,https://drive.google.com/open?id=1js-KycI2vUs7XM6zappkKrwmU5Xq4VYp
168,IME,Bach. em Matemática Aplicada e Computacional,2022,Escola Pública (EP),Primeira,60,70.0,42.5,597.22,36.0,17,3,
61,Poli,Engenharia Mecânica,2022,Escola Pública (EP),Primeira,67,52.5,77.5,681.48,29.5,33,19,https://drive.google.com/open?id=1zYDmpjKzUUUSxWcHOMdTy2ZvSSK0fioX
152,IF,Física – Bacharelado diurno,2022,Ampla Concorrência (AC),Segunda,67,66.0,57.5,659.81,33.0,91,64,
165,IME,Estatística - Bacharelado diurno,2022,Ampla Concorrência (AC),Primeira,73,66.0,55.83,676.48,38.5,72,12,
17,ECA,Artes Visuais - Bach. e Lic. noturno,2022,Escola Pública (EP),Primeira,52,58.0,55.83,680.82,31.5,2,2,
80,FEA,Bacharelado em Administração,2022,Escola Pública (EP),Primeira,61,59.0,54.0,600.0,38.0,24,10,
