id,unidade,curso,ano,modalidade,chamada,nota_1,nota_2_1,nota_2_2,nota_final,nota_redacao,classificacao_carreira,classificacao_curso,redacao
,FO,Odontologia,2021,Ampla Concorrência (AC),Primeira,63,57.0,67.5,648.33,28.5,43,38,
,EACH,Gestão Ambiental,2021,Ampla Concorrência (AC),Primeira,48,50.5,32.5,454.44,31.5,21,21,https://drive.google.com/open?id=1MGxYfPYPGiYJQH5EEZDGY39ebojNB7fm
,FFCLRP,Química (integral),2021,Escola Pública (EP),Primeira,50,59.67,40.83,520.19,35.67,2,2,https://drive.google.com/open?id=1gorWxyQA4IuOtYgsPpaMg5TP_vOQyQI3
,Poli,Engenharia de Computação,2021,Escola Pública (EP),Primeira,66,56.0,60.83,633.89,33.0,75,47,
,IME,Ciência da Computação,2021,Escola Pública (EP),Primeira,81,55.0,62.5,691.67,31.5,6,6,
,ICMC,Ciências de Computação,2021,Ampla Concorrência (AC),Primeira,68,65.0,76.67,724.07,44.5,41,36,https://drive.google.com/open?id=132p7CVAr-qAVUOCZbIUKh4tlmOJQmPOT
,ICMC,Ciências de Computação,2021,Escola Pública (EP),Primeira,74,66.5,33.3,606.85,42.5,31,22,https://drive.google.com/open?id=1nz6xi3r5YKlTyQZMcw6RLSm5lXlJoM2c
,ICMC,Ciências de Computação,2021,Ampla Concorrência (AC),Primeira,75,65.0,70.0,727.78,36.0,35,30,https://drive.google.com/open?id=1GpjiiOnXZKNaj-BNltlMIW85xWABWZYG
,ICMC,Ciências de Computação (Integral),2021,Ampla Concorrência (AC),Primeira,78,76.0,51.67,714.44,50.0,53,46,
,ICMC,Ciências da Computação,2021,Escola Pública (EP),Primeira,67,56.5,60.83,639.26,34.5,22,14,
,ICMC,Ciências de Computação,2021,Escola Pública (EP),Primeira,64,67.0,38.33,588.15,41.5,36,27,https://drive.google.com/open?id=18CnLMNilXv7AO3fP3jPuD4y6I62NvU7B
,ICMC,Ciência da Computação,2021,Escola Pública (EP),Primeira,71,51.5,83.3,712.41,30.0,3,2,https://drive.google.com/open?id=1e1xkKmlYCQ8WE0ceAqw7LmCrndekdn0s
,IP,Psicologia,2021,Ampla Concorrência (AC),Primeira,77,65.0,78.33,762.96,36.5,9,9,https://drive.google.com/open?id=1-rVN1sAaVQhcmEfDdKAmcwE-VE-KIhYH
,Poli,Engenharia de Computação,2021,Escola Pública (EP),Primeira,66,51.0,87.5,706.11,32.0,25,19,
,Poli,Engenharia de Produção,2021,Escola Pública (EP),Primeira,61,69.0,51.0,628.0,38.0,83,25,https://drive.google.com/open?id=13XOEeXMdzPIL-GDwYOaexU43-F2P5_om
,EE,Enfermagem,2021,Escola Pública (EP),Primeira,54,53.5,59.17,575.56,30.0,7,7,https://drive.google.com/open?id=14YfUT0PMdomQeurkE5sf8r09cUBWQYxu
,Poli,Engenharia Elétrica,2021,Ampla Concorrência (AC),Primeira,77,59.0,86.67,770.74,33.0,132,87,
,ECA,Com. Social: Publicidade e Propaganda,2021,Escola Pública (EP),Primeira,64,59.0,63.33,644.81,36.5,1,1,
,Poli,Engenharia Elétrica,2021,Escola Pública (EP),Primeira,79,69.0,75.0,772.59,40.0,7,5,https://drive.google.com/open?id=11qhU9xnJeS6gFd3PzB4nFuF1XTmvYadl
,ICB,Ciências Biomédicas,2021,Escola Pública (EP),Primeira,69,55.17,70.83,675.56,27.67,4,4,
,FCF,Farmácia Bioquímica,2021,Ampla Concorrência (AC),Primeira,73,62.5,70.83,714.81,34.5,20,20,https://drive.google.com/open?id=1EsZPi4kp_szx7170_qmauuchWD0dIHbd
,FD,Direito Noturno,2021,Ampla Concorrência (AC),Primeira,72,60.0,67.5,691.0,35.0,251,248,
