id,campus,unidade,area,curso,fuvest_ac,fuvest_ep,fuvest_ppi,fuvest,enem_ac,enem_ep_l1,enem_ep_l3,enem_ep,enem_ppi_l2,enem_ppi_l4,enem_ppi,enem
131,São Paulo,FSP,B,Nutrição,18,7,3,28,2,0,5,5,0,5,5,12
132,São Paulo,FSP,B,Nutrição,18,7,3,28,2,0,5,5,0,5,5,12
133,São Paulo,FSP,B,Bacharelado em Saúde Pública,18,7,3,28,2,0,5,5,0,5,5,12
134,Pirassununga,FZEA,E,Engenharia de Alimentos,17,10,8,35,8,0,5,5,0,2,2,15
135,Pirassununga,FZEA,E,Engenharia de Alimentos,17,10,8,35,8,0,5,5,0,2,2,15
136,Pirassununga,FZEA,E,Engenharia de Biossistemas,21,12,9,42,9,0,6,6,0,3,3,18
137,Pirassununga,FZEA,B,Zootecnia,14,8,6,28,6,0,4,4,0,2,2,12
138,Pirassununga,FZEA,B,Medicina Veterinária,21,12,9,42,9,0,6,6,0,3,3,18
139,São Paulo,IAU,H,Arquitetura e Urbanismo,15,10,6,31,7,1,3,4,1,2,3,14
140,São Paulo,IAG,E,Bacharelado em Geofísica,12,9,6,27,3,0,0,0,0,0,0,3
141,São Paulo,IAG,E,Bacharelado em Meteorologia,12,9,6,27,3,0,0,0,0,0,0,3
142,São Paulo,IAG,E,Bacharelado em Astronomia,10,5,3,18,0,0,1,1,0,1,1,2
143,São Paulo,IB,B,Ciências Biológicas - Bach./Lic.,27,10,5,42,3,0,8,8,0,7,7,18
144,São Paulo,IB,B,Ciências Biológicas - Bach./Lic.,27,10,5,42,3,0,8,8,0,7,7,18
145,São Paulo,ICB,B,Bacharelado em Ciências Biomédicas,20,6,2,28,0,1,5,6,1,5,6,12
146,São Carlos,ICMC,E,Bacharelado em Ciências de Computação,29,18,12,59,13,0,8,8,0,5,5,26
147,São Carlos,ICMC,E,Matemática - Bach. e Licenciatura,10,6,5,21,5,0,3,3,0,1,1,9
148,São Carlos,ICMC,E,Matemática Aplic. e Comput. Científica,7,4,3,14,3,0,2,2,0,1,1,6
149,São Carlos,ICMC,E,Bacharelado em Sistemas de Informação,17,11,7,35,8,0,4,4,0,3,3,15
150,São Carlos,ICMC,E,Bacharelado em Estatística e Ciência de,14,8,6,28,6,0,4,4,0,2,2,12
151,São Carlos,ICMC,E,Bacharelado em Ciência de Dados,7,4,3,14,3,0,2,2,0,1,1,6
152,São Paulo,IF,E,Física – Bacharelado,30,9,3,42,0,0,9,9,0,9,9,18
153,São Paulo,IF,E,Física – Bacharelado,37,11,4,52,0,0,12,12,0,11,11,23
154,São Paulo,IF,E,Física – Licenciatura,25,8,2,35,0,0,7,7,0,8,8,15
155,São Paulo,IF,E,Física – Licenciatura,30,9,3,42,0,0,9,9,0,9,9,18
156,São Carlos,IFSC,E,Física – Bacharelado,15,8,5,28,5,0,4,4,0,3,3,12
157,São Carlos,IFSC,E,Bacharelado em Ciências Físicas e Biomoleculares -Ênfase Tecnológica,15,8,5,28,5,0,4,4,0,3,3,12
158,São Carlos,IFSC,E,Bacharelado em Física Computacional,15,8,5,28,5,0,4,4,0,3,3,12
159,São Carlos,IFSC/IQSC/ICMC,E,Licenciatura - Ciências Exatas,18,10,7,35,7,0,5,5,0,3,3,15
160,São Paulo,IGc,E,Geologia,25,10,0,35,0,0,5,5,0,10,10,15
161,São Paulo,IGc,E,Lic. em Geociências e Educação Ambiental,20,8,0,28,0,0,4,4,0,8,8,12
162,São Paulo,IME,E,Bacharelado em Ciência da Computação,24,15,9,48,6,1,2,3,1,2,3,12
163,São Paulo,IME,E,Matemática - Licenciatura,25,8,2,35,0,0,7,7,0,8,8,15
164,São Paulo,IME,E,Matemática - Licenciatura,50,16,4,70,0,0,15,15,0,15,15,30
165,São Paulo,IME,E,Estatística - Bacharelado,20,6,8,34,0,0,6,6,0,0,0,6
166,São Paulo,IME,E,Matemática - Bacharelado,13,5,3,21,2,0,4,4,0,3,3,9
167,São Paulo,IME,E,Matemática Aplicada - Bacharelado,6,6,4,16,4,0,0,0,0,0,0,4
168,São Paulo,IME,E,Bach. em Matemática Aplicada e Computacional,15,15,10,40,10,0,0,0,0,0,0,10
169,São Paulo,IO,E,Bacharelado em Oceanografia,16,8,4,28,4,2,2,4,2,2,4,12
170,São Paulo,IP,B,Psicologia - Bach./Lic. e Psicólogo,35,8,6,49,0,7,6,13,0,8,8,21
171,São Paulo,IQ,E,Química – Bacharelado e Licenciatura – Integral (Bach. – Ênfases: Tecnológica; Biotecnologia; Bioquímica e Biologia Molecular),22,12,8,42,8,2,4,6,2,2,4,18
172,São Paulo,IQ,E,Química – Bacharelado e Licenciatura – Noturno (Bach. – Ênfase em Química),22,12,8,42,8,2,4,6,2,2,4,18
173,São Carlos,IQSC,E,Química Bacharelado (Hab. Fundamental e Hab. Tecnológica com ênfases em Alimentos; Ambiental; Gestão de Qualidade; Materiais),24,12,6,42,6,3,3,6,3,3,6,18
174,São Paulo,IRI,H,Bacharelado em Relações Internacionais,14,5,2,21,1,3,1,4,3,1,4,9
175,São Paulo,IRI,H,Bacharelado em Relações Internacionais,14,5,2,21,1,3,1,4,3,1,4,9
177,São Paulo,IF,E,Bacharelado em Física Médica,12,4,1,17,0,,,,,,,
